trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
199,False,"{'a': 0.5, 'e': 1.0}",35,0,-148.51309137847176,"{0: 23, 1: 0, 2: 10, 3: 0, 4: 2}",0
200,False,"{'a': 0.5, 'e': 1.0}",25,3,-85.82304010114419,"{0: 10, 1: 4, 2: 8, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 1.0}",20,0,-203.76661950241643,"{0: 7, 1: 3, 2: 6, 3: 1, 4: 3}",0
202,False,"{'a': 0.5, 'e': 1.0}",30,0,-106.17074517853516,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
203,False,"{'a': 0.5, 'e': 1.0}",35,0,-133.05568351882752,"{0: 21, 1: 4, 2: 8, 3: 1, 4: 1}",0
204,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.79851913565005,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
205,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.76452177483242,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",0
206,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.0756818865624,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
207,False,"{'a': 0.5, 'e': 1.0}",25,6,-131.32480014272087,"{0: 8, 1: 4, 2: 4, 3: 2, 4: 1}",1
208,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.59446588041617,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
209,False,"{'a': 0.5, 'e': 1.0}",30,0,-110.94324603135355,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
210,False,"{'a': 0.5, 'e': 1.0}",20,0,-216.85117674753724,"{0: 6, 1: 3, 2: 7, 3: 1, 4: 3}",0
211,False,"{'a': 0.5, 'e': 1.0}",25,0,-199.57164131104417,"{0: 10, 1: 1, 2: 12, 3: 0, 4: 2}",0
212,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.0906704436821,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
213,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.92702696312165,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
214,False,"{'a': 0.5, 'e': 1.0}",35,0,-181.76568651093808,"{0: 25, 1: 2, 2: 4, 3: 0, 4: 4}",0
215,False,"{'a': 0.5, 'e': 1.0}",30,0,-80.57385162123498,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",0
216,False,"{'a': 0.5, 'e': 1.0}",30,12,-188.9794235776426,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 4}",1
217,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.069859271953,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
